Date,Amount,Location,Store,Fraudulent
2000-11-02,599.74,New Lindafurt,Wade LLC,True
1974-06-21,815.54,Camachobury,"Smith, Grant and Lin",True
2003-10-30,659.92,Andersonchester,Hoffman LLC,False
2000-06-25,795.55,Port Connie,"Potts, Ellison and Jones",False
2018-12-03,180.04,Muellermouth,Fox Group,False
1981-05-30,408.02,Smithstad,Richardson-Sanders,False
1992-03-07,373.78,New John,Combs Group,True
1979-01-24,778.73,Deborahville,Espinoza Group,False
1997-10-24,470.29,Kylefurt,"Mcknight, King and Walter",True
2008-01-04,324.15,East Teresa,Callahan-Nguyen,True
1992-01-10,277.92,Gomezhaven,"Richmond, Shaffer and Lucas",True
1979-10-31,347.03,Lawsonton,Alvarez Inc,False
1999-04-16,181.08,Lake Roger,Nielsen Inc,False
2000-03-22,742.5,Kristinaside,"Bailey, Brown and Rowe",False
2015-12-27,442.99,East Matthewfort,Campbell Group,False
2021-11-17,260.93,West Donna,Hill Inc,False
1988-12-21,594.56,South Annaland,Fischer-Carroll,True
1982-12-12,181.32,West Scott,Padilla PLC,False
2019-08-08,796.72,Bryanchester,Campbell-Foster,False
1981-05-08,832.57,Feliciamouth,"Mahoney, Powell and King",True
1979-07-23,610.43,Reidside,Miller-Thompson,False
2024-01-11,594.78,Michaelstad,Jordan LLC,False
2008-10-17,387.37,South Lisaview,"Wood, Evans and Reed",True
2007-02-26,552.9,Whitakerstad,Bell Inc,True
2007-11-27,123.2,Ashleyton,Barton Group,False
1982-09-14,521.09,Lake Daniel,"Wells, Matthews and Thomas",True
1971-12-21,926.84,Devinfurt,"Allen, Harris and Braun",False
1999-01-24,87.22,New Angel,White-Ochoa,True
2015-03-22,325.98,Monroeburgh,Strong LLC,False
1989-01-08,116.56,Port Michael,"Harris, Braun and Johnson",False
1994-02-01,417.62,New Allenstad,"Berry, Cervantes and Miller",False
2021-02-21,457.68,Karenfurt,Hayes-Lee,True
2006-06-09,496.89,Port Bridget,Richardson Inc,True
1976-09-24,83.34,Colemanside,Garrett-Mckay,False
2024-05-18,129.28,West Stuart,"Bruce, Howard and Gonzalez",False
1991-03-07,322.15,Port Christopher,"Huber, Arnold and Wolf",True
1977-06-19,618.23,Kennethside,"Burke, Johnson and Stewart",False
2015-12-22,274.79,Perrybury,Anderson PLC,False
1990-07-28,115.04,Gabrielbury,"Griffin, Woods and Bradley",False
1998-03-29,200.64,South Jaclynborough,Eaton Group,False
1999-09-14,173.74,Reyeshaven,Roberts Ltd,False
1991-05-02,483.17,New Michaelburgh,"Bowen, Small and Bauer",True
1991-06-07,512.12,Lake Nathan,Rhodes Group,False
2015-10-05,129.75,Gregoryport,Barnes and Sons,False
1987-11-30,831.09,Ruizhaven,"Russell, Harris and Riley",False
2006-03-10,571.32,Houseview,Carter PLC,False
2021-02-27,173.31,Timothyshire,Spears Inc,True
1985-06-24,199.3,Davisside,Cook-Murray,True
1983-05-03,367.23,Chanport,"Alexander, Estes and Lang",False
2007-08-21,889.26,Johnsonhaven,Moyer-Bell,True
